,Initial Solution,Moves,OFIS,OFFS,OF_Diff,Improvement,Label
14529,D0 C21 C11 D0 D0 C49 D0 D0 C66 C67 D0 D0 C62 C65 D0 D0 C8 D0 D0 C63 C10 D0 D0 C4 C24 D0 D0 C43 S16 C64 D0 D0 C22 C25 C27 C29 D0 D0 C46 C51 C55 S16 D0 D0 C41 C45 D0 D0 C7 C6 C2 C91 C89 D0 D0 C42 C44 C40 S16 D0 D0 C47 C48 D0 D0 C26 C28 C30 C9 D0 D0 C75 C1 C99 D0 D0 C88 C85 S1 D0 D0 C5 C90 D0 D0 C84 S1 D0 D0 C94 S4 C97 D0 D0 C31 C35 S11 C52 D0 D0 C37 S12 C33 C32 D0 D0 C86 C83 D0 D0 C17 C15 S7 D0 D0 S14 C50 D0 D0 C20 C23 S7 D0 D0 C34 C36 C39 S12 D0 D0 C82 C87 D0 D0 C96 C100 S3 D0 D0 C98 C95 C93 S4 D0 D0 C3 S7 D0 D0 C13 C18 C19 S7 D0 D0 C12 C14 C16 S7 D0 D0 C38 S12 D0 D0 C92 S4 D0 D0 C54 C56 C53 S16 D0 D0 C57 C58 S16 D0 D0 C68 C59 C60 S14 D0 D0 C81 S20 D0 D0 C69 C74 C78 S20 D0 D0 C79 C77 S19 D0 D0 C80 S18 D0 D0 C76 S20 D0 D0 C61 C72 S20 D0 D0 C73 C71 S20 D0 D0 C70 S20 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, GreedyDestroyCustomer, GreedyRepairCustomer",56964.96745,56957.94867,7.018777357,Little,2
14544,D0 C21 C11 D0 D0 C49 D0 D0 C66 C67 D0 D0 C62 C65 D0 D0 C8 D0 D0 C63 C10 D0 D0 C30 C24 D0 D0 C43 C64 C69 D0 D0 C22 C25 C27 C29 D0 D0 C46 C51 C55 S16 D0 D0 C41 C45 D0 D0 C7 C6 C4 C91 C89 D0 D0 C42 C44 C40 S16 D0 D0 C47 C48 D0 D0 C26 C28 C9 D0 D0 C75 C1 C99 C2 D0 D0 C88 C85 S1 D0 D0 C5 D0 D0 C90 C84 S1 D0 D0 C94 S4 C97 D0 D0 C31 C35 S11 C52 D0 D0 C37 S12 C33 C32 D0 D0 C86 C83 D0 D0 C15 S7 D0 D0 S14 C50 D0 D0 C20 C23 S7 D0 D0 C34 C36 C39 S12 D0 D0 C82 C87 D0 D0 C96 C100 S3 D0 D0 C3 S7 D0 D0 C13 C17 C18 C19 S7 D0 D0 C12 C14 C16 S7 D0 D0 C38 S12 D0 D0 C92 S4 C93 C95 C98 D0 D0 C54 C56 C53 S16 D0 D0 C57 C58 S16 D0 D0 C68 C59 C60 S14 D0 D0 C81 S20 D0 D0 C79 C77 S19 D0 D0 C80 S18 C74 D0 D0 C78 C76 S20 D0 D0 C61 C72 S20 D0 D0 C73 C71 S20 D0 D0 C70 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, WorstDistanceDestroyCustomer, GreedyRepairCustomer",54462.79902,54439.77617,23.02284492,Medium,3
14584,D0 C69 C22 C26 D0 D0 C10 C11 D0 D0 C7 C21 D0 D0 C66 C65 D0 D0 C30 C28 C23 D0 D0 C52 D0 D0 C5 D0 D0 C25 C47 D0 D0 C91 C75 C3 D0 D0 C13 D0 D0 C32 C43 D0 D0 C27 C33 C51 C50 S13 D0 D0 C46 C55 S16 D0 D0 C41 C45 D0 D0 C6 C4 C89 D0 D0 C42 C54 S16 D0 D0 C29 C9 C8 D0 D0 C1 C99 C2 D0 D0 C40 C68 C88 S1 D0 D0 C85 D0 D0 C67 C62 C72 S1 D0 D0 C87 C86 C84 C90 D0 D0 C94 S4 C97 D0 D0 C35 C31 S11 D0 D0 C34 C37 S12 D0 D0 C17 C15 S7 D0 D0 C64 C59 S14 C44 D0 D0 C20 C24 S7 D0 D0 C36 C39 S12 D0 D0 C96 C100 S3 D0 D0 C98 C95 C93 S4 D0 D0 C61 S0 C12 S7 D0 D0 C18 C19 C14 S7 D0 D0 C16 S7 D0 D0 C38 S12 D0 D0 C92 S4 D0 D0 C60 C58 C56 C53 S16 D0 D0 C57 S16 D0 D0 C49 C48 S14 D0 D0 C81 S20 D0 D0 C78 S20 D0 D0 C77 C79 S19 D0 D0 C80 S18 C74 D0 D0 C76 S20 D0 D0 C63 C73 S20 D0 D0 C71 S20 C82 C83 D0 D0 C70 S20 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, GreedyDestroyCustomer, GreedyRepairCustomer",58315.02506,58307.61253,7.412531874,Little,2
14699,D0 C66 C67 D0 D0 C61 D0 D0 C69 C72 C62 D0 D0 C20 C24 C52 D0 D0 C91 D0 D0 C43 C68 D0 D0 C27 C29 C33 C50 S13 D0 D0 C51 C55 S16 D0 D0 C41 C45 D0 D0 C75 C89 D0 D0 C42 C54 S16 D0 D0 C65 C48 C46 D0 D0 C21 C30 C11 C9 C8 D0 D0 C5 C3 C4 C6 C7 D0 D0 C40 C88 C85 C84 S1 D0 D0 C64 C74 S1 D0 D0 C87 C86 C83 C82 D0 D0 C94 S4 C96 D0 D0 C31 C35 S11 D0 D0 C15 S7 D0 D0 C49 D0 D0 C22 C26 C28 S7 D0 D0 C34 C36 C39 S12 C37 D0 D0 C100 C97 C99 S3 C2 C1 D0 D0 C98 C95 C93 S4 D0 D0 C10 C12 S7 C13 D0 D0 C23 C17 C18 C19 S7 D0 D0 C14 C16 S7 D0 D0 C38 S12 C32 D0 D0 C92 S4 D0 D0 C57 C56 C53 S16 D0 D0 C47 C44 C60 C58 S16 D0 D0 C59 S14 C25 D0 D0 C81 S20 D0 D0 C77 C79 S19 D0 D0 C80 S19 C63 D0 D0 C78 C76 S20 D0 D0 C73 C70 C71 S20 D0 D0 S20 C90 D0,"RandomDestroyStation, DeterministicBestRepairStation, RandomRouteDestroyCustomer, GreedyRepairCustomer",47739.89137,47726.07644,13.81493098,Medium,3
14719,D0 C66 C67 D0 D0 C69 C61 C62 D0 D0 C52 C20 D0 D0 C43 C68 D0 D0 C25 C27 C29 C33 C32 D0 D0 C49 C50 C51 C55 S16 D0 D0 C41 C45 D0 D0 C91 C89 D0 D0 C42 C54 S16 D0 D0 C65 C48 C46 D0 D0 C21 C28 C30 C11 C9 C8 D0 D0 C5 C3 C4 C6 C7 D0 D0 C40 C63 C88 C85 C84 S1 D0 D0 C64 C72 C74 S1 D0 D0 C87 C86 C83 C82 D0 D0 C94 S4 C96 D0 D0 C31 C35 S11 D0 D0 C13 C15 S7 D0 D0 C22 C26 S7 D0 D0 C24 C34 C36 C39 S12 C37 D0 D0 C75 C1 C2 C100 C97 C99 S3 D0 D0 C98 C95 C93 S4 D0 D0 C10 C12 S7 D0 D0 C23 C17 C18 C19 S7 D0 D0 C14 C16 S7 D0 D0 C38 S12 D0 D0 C92 S4 D0 D0 C57 C53 S16 D0 D0 C47 C44 C60 C58 S16 D0 D0 C59 C56 S14 D0 D0 C81 S20 D0 D0 C77 C79 S19 D0 D0 C80 S19 D0 D0 C78 C76 S20 D0 D0 C73 C70 C71 S20 D0 D0 S20 C90 D0,"RandomDestroyStation, DeterministicBestRepairStation, ProbabilisticWorstRemovalCustomer, GreedyRepairCustomer",44063.83944,44062.18773,1.651702578,Zero,1
14829,D0 C26 C22 D0 D0 C28 C11 D0 D0 C5 C3 C67 D0 D0 C64 C69 C23 D0 D0 C72 C62 D0 D0 C52 D0 D0 C25 C47 D0 D0 C91 C4 D0 D0 C43 C40 C68 D0 D0 C10 C27 S13 D0 D0 C46 C55 S16 D0 D0 C41 C45 D0 D0 C42 C44 C59 S16 D0 D0 C48 D0 D0 C20 C24 C21 D0 D0 C99 C2 C1 D0 D0 C89 C85 D0 D0 C7 S1 D0 D0 C87 C86 C65 D0 D0 C94 S4 C95 D0 D0 C32 C35 C31 S11 D0 D0 C34 C37 S12 C33 D0 D0 C13 C15 S7 D0 D0 C66 C61 S14 D0 D0 C49 C50 C51 C29 C30 C17 S7 C18 C19 S7 D0 D0 C36 C39 S12 D0 D0 C96 C100 S3 D0 D0 C98 C93 S4 C97 D0 D0 C6 C9 C12 S7 D0 D0 C8 S7 D0 D0 C14 C16 S7 D0 D0 C38 S12 D0 D0 C92 S4 D0 D0 C57 C54 C53 S16 D0 D0 C60 C58 C56 S16 D0 D0 S14 C81 S20 D0 D0 C75 C88 C84 C83 C82 S20 D0 D0 C79 S19 C63 D0 D0 C80 S18 C74 D0 D0 C78 C76 S20 D0 D0 C77 C73 C70 C71 S20 D0 D0 C90 S20 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, GreedyDestroyCustomer, GreedyRepairCustomer",51288.92189,51281.42106,7.500825594,Little,2
14839,D0 C26 C22 D0 D0 C28 C11 D0 D0 C5 C67 D0 D0 C62 C69 C23 D0 D0 C52 D0 D0 C25 C47 D0 D0 C91 D0 D0 C43 C40 C68 D0 D0 C10 C27 S13 D0 D0 C46 C55 S16 D0 D0 C41 C45 D0 D0 C42 C44 C59 S16 D0 D0 C48 D0 D0 C20 C24 C21 D0 D0 C99 C2 C1 D0 D0 C89 C85 D0 D0 C7 S1 D0 D0 C87 C86 C65 D0 D0 C94 S4 C95 D0 D0 C32 C35 C31 S11 D0 D0 C34 C37 S12 C33 D0 D0 C13 C15 S7 D0 D0 C66 S14 D0 D0 C49 C50 C51 C29 C30 C17 S7 C18 C19 S7 D0 D0 C36 C39 S12 D0 D0 C96 C100 S3 D0 D0 C98 C93 S4 C97 D0 D0 C3 C4 C6 C9 C12 S7 D0 D0 C8 S7 D0 D0 C14 C16 S7 D0 D0 C38 S12 D0 D0 C92 S4 D0 D0 C57 C54 C53 S16 D0 D0 C60 C58 C56 S16 D0 D0 S14 C64 C61 C72 D0 D0 C75 C88 C84 C83 C82 S20 D0 D0 C79 S19 C63 D0 D0 C80 S18 C74 D0 D0 C81 C78 C76 S20 D0 D0 C77 C73 C70 C71 S20 D0 D0 C90 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, ZoneDestroyCustomer, GreedyRepairCustomer",51269.94259,50025.74312,1244.199463,Lot,4
14879,D0 C89 D0 D0 C27 C10 D0 D0 C50 C49 D0 D0 C8 D0 D0 C71 S19 C42 S11 D0 D0 C88 D0 D0 C90 C85 D0 D0 C98 C99 D0 D0 C34 C37 S12 C31 D0 D0 C16 S7 D0 D0 C30 C39 S12 C35 D0 D0 C58 C53 S16 D0 D0 C47 C40 S16 D0 D0 C73 S20 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, ProximityBasedDestroyCustomer, GreedyRepairCustomer",17167.36477,17147.75116,19.61360533,Medium,3
14934,D0 C49 C50 C47 D0 D0 C71 C73 S11 D0 D0 C90 C85 C88 C89 D0 D0 C99 C98 D0 D0 C31 C35 S12 C37 D0 D0 C10 S7 C16 C8 D0 D0 C27 C30 C34 C39 S12 D0 D0 C58 C53 S16 D0 D0 C42 C40 S16 D0,"RandomDestroyStation, DeterministicBestRepairStation, WorstDistanceDestroyCustomer, GreedyRepairCustomer",12194.15833,12194.11327,0.045055035,Zero,1
15068,D0 C47 C40 D0 D0 C42 C35 S11 D0 D0 C73 S1 C88 D0 D0 C90 C85 C89 D0 D0 C98 C99 D0 D0 C49 C31 D0 D0 C37 S12 C39 C30 D0 D0 C8 S7 C16 D0 D0 C50 S12 C34 D0 D0 C58 S16 D0 D0 C10 C53 S16 D0 D0 C27 C71 S20 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, GreedyDestroyCustomer, GreedyRepairCustomer",15024.35322,15010.92869,13.42453289,Medium,3
15133,D0 C42 C47 D0 D0 C49 C50 D0 D0 C73 C71 S1 C85 C88 D0 D0 C90 C89 D0 D0 C98 C99 D0 D0 C31 C35 C37 S12 C39 C34 C30 C27 D0 D0 C10 S7 C16 C8 D0 D0 C40 C58 C53 S16 D0 D0 S0 S20 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, ShawDestroyCustomer, GreedyRepairCustomer",10066.28661,10056.98659,9.300017739,Little,2
15168,D0 C42 C31 C35 S11 D0 D0 C90 C89 C85 C88 D0 D0 C99 C98 D0 D0 C49 C47 D0 D0 C37 S12 C34 D0 D0 C10 C16 S7 C8 D0 D0 C30 C39 S12 D0 D0 C50 S16 D0 D0 C40 C58 C53 S16 D0 D0 C27 S1 C73 C71 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, ProximityBasedDestroyCustomer, GreedyRepairCustomer",14311.78131,13295.79198,1015.989332,Lot,4
15278,D0 C47 C40 D0 D0 C49 C50 D0 D0 C89 S1 D0 D0 C88 C85 D0 D0 C98 C99 D0 D0 C10 C8 C16 S9 C34 C39 S12 C37 C35 C31 D0 D0 C30 C27 C42 C58 C53 S16 D0 D0 C90 C73 C71 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, WorstDistanceDestroyCustomer, GreedyRepairCustomer",10394.97663,10386.36219,8.61443127,Little,2
15283,D0 C49 C47 D0 D0 C89 S1 D0 D0 C88 C85 D0 D0 C99 C98 D0 D0 C10 C8 C16 S9 C34 C39 S12 C37 C35 C31 D0 D0 C30 C27 C50 C42 C40 C58 C53 S16 D0 D0 C90 C73 C71 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, ProximityBasedDestroyCustomer, GreedyRepairCustomer",9168.385642,9167.688649,0.696993054,Zero,1
15442,D0 C50 D0 D0 C40 S1 C89 D0 D0 C90 C85 C88 D0 D0 C98 C99 D0 D0 C27 C47 D0 D0 C37 S12 C34 D0 D0 C31 S9 C16 S7 C8 D0 D0 C10 C30 C39 S12 C35 D0 D0 C58 S16 D0 D0 C49 C42 C53 S16 D0 D0 C73 C71 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, ZoneDestroyCustomer, GreedyRepairCustomer",14694.78822,14684.81635,9.971871466,Little,2
15602,D0 C89 D0 D0 C50 C27 D0 D0 C31 C47 D0 D0 C8 D0 D0 C35 S11 D0 D0 C49 C40 S1 D0 D0 C90 C85 D0 D0 C98 C99 D0 D0 C37 S12 C34 D0 D0 C88 S5 C16 D0 D0 C30 C39 S12 D0 D0 C42 C58 S16 D0 D0 C10 C53 S16 D0 D0 C73 C71 S20 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, ShawDestroyCustomer, GreedyRepairCustomer",17942.66107,17942.70421,-0.043147842,Negative,0
15657,D0 C49 C50 S11 D0 D0 C73 C71 S1 C85 C88 C89 C90 D0 D0 C99 C98 D0 D0 C8 S5 C16 C10 D0 D0 C27 C30 C34 C39 S12 C37 C35 C31 D0 D0 C47 C40 C58 S16 D0 D0 C42 C53 S16 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, GreedyDestroyCustomer, GreedyRepairCustomer",10214.84728,8978.928722,1235.918557,Lot,4
16061,D0 C66 D0 D0 C41 C40 C55 S16 C72 C61 D0 D0 S11 C52 C47 D0 D0 C5 C1 C2 C98 C84 S1 C90 D0 D0 C37 S12 C34 C30 C27 C22 C21 D0 D0 C43 C42 C44 C59 C58 S16 C68 D0 D0 C24 C36 C39 S12 C35 D0 D0 S3 C88 C83 D0 D0 C95 C96 C92 C97 C99 S3 D0 D0 C12 C16 S7 D0 D0 C17 C19 S7 C11 D0 D0 C7 C6 C14 S7 S7 S7 D0 D0 C78 S20 D0 D0 C81 S19 D0 D0 C79 C71 S20 D0 D0 C70 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, WorstDistanceDestroyCustomer, GreedyRepairCustomer",19909.07611,19882.85263,26.22348319,Medium,3
16176,D0 C43 C22 D0 D0 C6 C7 D0 D0 C41 C40 C61 C72 D0 D0 C42 C44 C59 C58 S16 C68 D0 D0 C99 S3 D0 D0 C88 D0 D0 C35 S11 D0 D0 C98 C96 C95 C97 C92 S4 C84 S1 D0 D0 C90 C83 D0 D0 C66 C47 C52 S12 C37 D0 D0 S16 C55 D0 D0 C21 C24 C34 C36 C39 S12 C30 D0 D0 C5 C2 S3 D0 D0 C27 C1 S3 D0 D0 C17 C19 C16 C14 C12 S7 D0 D0 C11 S7 S7 S7 D0 D0 C78 C81 S19 D0 D0 C79 C71 S20 D0 D0 C70 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, GreedyRouteRemoval, GreedyRepairCustomer",23775.89755,23739.89472,36.00283241,Medium,3
16471,D0 C27 C24 D0 D0 C66 D0 D0 C99 D0 D0 C41 C40 C55 S16 C68 D0 D0 C95 C92 C97 S3 D0 D0 C52 D0 D0 C98 C84 S1 D0 D0 C90 C83 D0 D0 C34 C37 S12 C35 D0 D0 C43 C42 C44 C59 C58 S16 C72 C61 D0 D0 C21 C30 C36 C39 S12 D0 D0 C96 S3 C88 S20 D0 D0 C1 C2 S3 D0 D0 C11 C12 C14 C16 S7 D0 D0 C17 C19 S7 D0 D0 C47 C22 S7 S7 D0 D0 C81 C78 S20 D0 D0 C7 C6 C5 S19 D0 D0 C79 C71 S20 D0 D0 C70 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, WorstTimeDestroyCustomer, GreedyRepairCustomer",24946.1419,24934.39865,11.74325204,Medium,3
16626,D0 C52 D0 D0 C22 C27 C43 D0 D0 C24 C30 C11 D0 D0 C6 C7 D0 D0 C66 D0 D0 C41 C40 C61 D0 D0 C42 C55 S16 D0 D0 C97 C99 S3 D0 D0 C72 C68 D0 D0 C44 C35 S11 D0 D0 C98 C92 C84 S1 D0 D0 C88 C83 D0 D0 C37 S12 C34 D0 D0 C47 C58 S16 D0 D0 C21 C36 C39 S12 D0 D0 C5 C1 C96 S3 D0 D0 C81 S1 C95 S3 C2 D0 D0 C12 C16 S7 D0 D0 C17 C19 S7 D0 D0 C59 C14 S7 S7 D0 D0 C78 S19 D0 D0 C79 C71 S20 D0 D0 C90 C70 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, RandomRouteDestroyCustomer, GreedyRepairCustomer",28476.20486,28449.29192,26.91293659,Medium,3
17461,D0 C21 C10 D0 D0 C2 C1 C67 D0 D0 C64 C65 D0 D0 C23 C11 D0 D0 C63 C69 C61 C72 C62 D0 D0 C5 D0 D0 C25 C24 C57 S16 C68 D0 D0 C75 C4 C91 D0 D0 C8 D0 D0 C42 C43 D0 D0 C7 C27 D0 D0 C55 S16 D0 D0 C41 C45 D0 D0 C6 C9 D0 D0 C49 C50 C51 D0 D0 C46 C74 D0 D0 C28 C30 C13 D0 D0 C89 C3 D0 D0 C40 C44 C48 D0 D0 C54 S16 D0 D0 C90 C88 D0 D0 C85 C84 S1 D0 D0 C81 S20 D0 D0 C98 C94 S4 D0 D0 C35 C31 S11 C52 D0 D0 C37 S12 C29 C26 D0 D0 C15 S7 D0 D0 C59 S14 C47 C20 D0 D0 C22 C18 C17 S7 D0 D0 C36 C39 S12 C33 C32 D0 D0 C83 C82 D0 D0 C96 C100 S3 D0 D0 C95 C93 S4 C97 D0 D0 C99 C12 S7 D0 D0 C34 C19 S7 D0 D0 C14 C16 S7 D0 D0 C38 S12 D0 D0 C92 S4 D0 D0 C60 C58 C56 C53 S16 D0 D0 C78 S20 D0 D0 C77 C79 S19 D0 D0 C80 S18 D0 D0 C76 S20 D0 D0 C66 C73 S20 D0 D0 C71 S20 C86 C87 D0 D0 C70 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, ProbabilisticWorstRemovalCustomer, GreedyRepairCustomer",56823.76634,56814.83115,8.935189193,Little,2
17601,D0 C20 D0 D0 C21 C28 C1 D0 D0 C22 C49 D0 D0 C67 C66 D0 D0 C65 D0 D0 C23 C11 D0 D0 C63 C69 C72 D0 D0 C24 C52 D0 D0 C5 D0 D0 C25 C47 C57 S16 D0 D0 C75 C4 C10 D0 D0 C7 D0 D0 C3 C8 D0 D0 C43 C50 D0 D0 C27 D0 D0 C62 C55 S16 D0 D0 C41 C45 D0 D0 C6 C9 D0 D0 C42 C44 D0 D0 C74 C89 D0 D0 C30 C13 D0 D0 C2 C99 D0 D0 C48 D0 D0 C68 C54 S16 D0 D0 C90 C88 D0 D0 C64 C84 S1 D0 D0 C85 D0 D0 C86 C81 S20 D0 D0 C98 C94 S4 D0 D0 C32 C31 C35 S11 D0 D0 C34 C37 S12 D0 D0 C91 C83 D0 D0 C17 C15 S7 D0 D0 C46 C33 S11 D0 D0 C61 C59 S14 D0 D0 C29 C18 S7 D0 D0 C36 C39 S12 D0 D0 C87 C82 D0 D0 C96 C97 C100 S3 D0 D0 C95 C93 S4 D0 D0 C92 S5 S7 D0 D0 C19 C12 S7 D0 D0 C14 C16 S7 D0 D0 C38 S12 D0 D0 C56 C53 S16 D0 D0 C26 C58 S16 D0 D0 C60 S14 C51 D0 D0 C78 S20 D0 D0 C79 C77 S19 D0 D0 C80 S18 D0 D0 C76 S20 D0 D0 C73 S20 D0 D0 C40 C71 S20 D0 D0 C70 S20 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, ProbabilisticWorstRemovalCustomer, GreedyRepairCustomer",69809.8191,69075.3698,734.4493056,Lot,4
17651,D0 C21 C28 C3 C5 D0 D0 C49 D0 D0 C67 C66 D0 D0 C47 C65 D0 D0 C23 C26 D0 D0 C72 D0 D0 C20 C24 C52 D0 D0 C22 C25 C42 S16 D0 D0 C75 C4 C6 C10 D0 D0 C7 D0 D0 C8 D0 D0 C40 C43 D0 D0 C62 S16 C55 D0 D0 C9 D0 D0 C74 C89 D0 D0 C11 C30 D0 D0 C2 C1 D0 D0 C68 C54 S16 D0 D0 C90 C88 D0 D0 C69 C64 S1 D0 D0 C85 D0 D0 C86 C83 C82 C81 S20 D0 D0 C94 S4 D0 D0 C35 C31 S11 D0 D0 C37 S12 C33 C32 D0 D0 C91 D0 D0 C13 C15 S7 D0 D0 C59 C41 D0 D0 C27 C29 C18 S7 D0 D0 C34 C36 C39 S12 D0 D0 C87 C84 D0 D0 C96 C99 S3 D0 D0 C98 C95 C93 S4 D0 D0 C92 C97 C100 S5 S7 D0 D0 C17 C19 C12 S7 D0 D0 C14 C16 S7 D0 D0 C38 S12 D0 D0 C57 C56 C53 S16 D0 D0 C44 C58 S16 D0 D0 C60 S14 C51 C50 C48 C45 C46 D0 D0 C78 S20 D0 D0 C73 C77 C79 S19 D0 D0 C80 S18 C63 D0 D0 C76 C71 S20 D0 D0 C61 S20 D0 D0 C70 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, ProbabilisticWorstRemovalCustomer, GreedyRepairCustomer",56883.88259,56878.60906,5.273527703,Little,2
17756,D0 C10 C21 D0 D0 C22 C49 D0 D0 C66 C67 D0 D0 C65 C61 D0 D0 C5 C63 D0 D0 C52 C24 D0 D0 C57 D0 D0 C7 D0 D0 C50 D0 D0 C27 C46 D0 D0 C62 C55 S16 D0 D0 C41 C45 D0 D0 C8 C9 D0 D0 C42 C44 C51 D0 D0 C13 S7 D0 D0 C40 C48 D0 D0 C68 C54 S16 D0 D0 C64 C84 S1 D0 D0 C87 C89 D0 D0 C85 S20 D0 D0 C98 C94 S4 D0 D0 C32 C31 C35 S11 D0 D0 C37 S12 D0 D0 C91 C88 C83 D0 D0 C17 S7 C11 D0 D0 C33 C34 S11 D0 D0 C1 C75 S15 C59 S14 D0 D0 C20 C26 C28 C30 C18 S7 D0 D0 C25 C29 C36 C39 S12 D0 D0 C86 C82 D0 D0 C96 C100 C99 S3 C2 D0 D0 C95 C93 S4 C97 D0 D0 C3 C4 C6 C12 S7 D0 D0 C19 C15 S7 D0 D0 C14 C16 S7 D0 D0 C38 S12 D0 D0 C92 S4 D0 D0 C56 S16 C72 D0 D0 C43 C58 S16 D0 D0 C60 S14 C23 D0 D0 C53 C78 S20 D0 D0 C77 C79 S19 D0 D0 C80 S18 D0 D0 C76 S20 D0 D0 C69 C73 C70 S20 D0 D0 C47 C74 C81 C71 S20 D0 D0 C90 S20 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, GreedyDestroyCustomer, GreedyRepairCustomer",57701.11855,57695.6436,5.474952034,Little,2
17961,D0 C23 C26 D0 D0 C27 C34 D0 D0 C99 D0 D0 C74 C68 C69 D0 D0 C46 S11 C35 C38 C31 D0 D0 C94 S4 C96 D0 D0 C17 S7 C13 D0 D0 C28 C25 D0 D0 S3 C87 C78 S20 D0 D0 C18 C14 S7 C11 D0 D0 C65 C39 S12 D0,"RandomDestroyStation, DeterministicBestRepairStation, DemandBasedDestroyCustomer, GreedyRepairCustomer",13756.72027,13643.32714,113.3931263,Lot,4
18041,D0 C13 C11 D0 D0 C25 C23 D0 D0 C99 S3 D0 D0 C65 C74 C68 C69 D0 D0 C34 C35 C31 S11 C46 D0 D0 C87 C94 S4 C96 D0 D0 C26 C28 D0 D0 C17 C18 D0 D0 S3 S20 C78 D0 D0 C14 S7 C27 D0 D0 C39 C38 S12 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, WorstTimeDestroyCustomer, GreedyRepairCustomer",13601.8489,13597.54409,4.30480939,Little,2
18046,D0 C11 C13 D0 D0 C25 C23 D0 D0 C99 D0 D0 C65 C74 C68 C69 D0 D0 C34 C35 C31 S11 C46 D0 D0 C87 S4 C94 C96 D0 D0 C26 C27 D0 D0 C17 C18 D0 D0 S3 S20 C78 D0 D0 C14 S7 C28 D0 D0 C39 C38 S12 D0,"RandomDestroyStation, DeterministicBestRepairStation, ShawDestroyCustomer, GreedyRepairCustomer",13596.94301,13596.89955,0.043454309,Zero,1
18616,D0 C65 C14 S7 D0 D0 C26 C74 D0 D0 C23 C25 D0 D0 C68 C27 D0 D0 C99 D0 D0 C69 C46 S11 D0 D0 C78 S1 C87 S4 C94 C96 D0 D0 C31 C35 C34 C18 S7 D0 D0 C11 C17 D0 D0 S7 C13 C28 D0 D0 C39 S12 C38 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, WorstTimeDestroyCustomer, GreedyRepairCustomer",13768.43434,13768.64201,-0.207665218,Negative,0
18781,D0 C11 C23 D0 D0 C25 C28 D0 D0 C99 S3 D0 D0 C31 C35 S11 D0 D0 C27 C34 C39 S10 C18 C17 S7 D0 D0 C13 C26 D0 D0 S3 C96 C94 S20 C78 D0 D0 C69 C68 C74 C65 C14 S7 D0 D0 C87 S12 C38 C46 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, WorstDistanceDestroyCustomer, GreedyRepairCustomer",11283.21257,11282.73845,0.474129483,Zero,1
18976,D0 C43 C46 D0 D0 C23 C3 D0 D0 C4 C67 D0 D0 C8 D0 D0 C89 D0 D0 C47 C48 C51 D0 D0 C55 S16 C61 C62 D0 D0 C90 C84 C91 D0 D0 C33 C31 S11 C52 D0 D0 C87 C82 D0 D0 C20 C36 D0 D0 C96 C95 S3 C1 D0 D0 C19 C15 S7 C11 D0 D0 C37 S12 C29 D0 D0 C94 S4 D0 D0 C92 S4 C97 C99 C9 D0 D0 C81 S16 C68 D0 D0 C40 C58 C56 C54 S16 C64 D0 D0 C78 S20 D0 D0 C79 C73 C80 S18 C63 D0 D0 C76 S20 D0,"RandomDestroyStation, DeterministicBestRepairStation, GreedyRouteRemoval, GreedyRepairCustomer",26342.23456,26336.94648,5.288071395,Little,2
19261,D0 C48 C47 D0 D0 C61 C64 C68 D0 D0 C52 D0 D0 C63 C43 D0 D0 C90 C3 D0 D0 C62 C46 D0 D0 C8 C9 C1 D0 D0 C55 D0 D0 C89 D0 D0 C33 C31 S11 C51 D0 D0 C87 C82 D0 D0 C36 C29 D0 D0 C19 C15 S7 D0 D0 S7 C11 D0 D0 C96 C4 C23 S12 C37 C20 D0 D0 C54 S16 D0 D0 C94 C92 S4 C95 D0 D0 C99 C97 S4 D0 D0 C40 C58 C56 S16 C81 S20 D0 D0 S16 C79 C73 C78 C76 S20 D0 D0 C80 S18 D0 D0 C91 C84 S20 D0 D0 C67 S20 D0,"RandomDestroyStation, ProbabilisticBestRepairStation, WorstDistanceDestroyCustomer, GreedyRepairCustomer",28465.80655,28454.57365,11.23290202,Medium,3
